电影名称			评分			评分人数
一次别离			8.7			159477
青蛇			8.5			282032
追随			8.9			101179
惊魂记			8.9			109359
疯狂的石头			8.4			415903
终结者2：审判日			8.6			183503
小萝莉的猴神大叔			8.5			239921
源代码			8.4			493048
撞车			8.6			208275
步履不停			8.8			122966
再次出发之纽约遇见你			8.5			225314
新龙门客栈			8.5			237444
初恋这件小事			8.3			583640
梦之安魂曲			8.7			136155
爱在午夜降临前			8.8			151529
天书奇谭			9.1			73113
东京物语			9.2			66309
无耻混蛋			8.5			272963
城市之光			9.3			59438
绿里奇迹			8.7			133999
海蒂和爷爷			9.1			79431
彗星来的那一夜			8.5			248301
这个男人来自地球			8.5			230364
E.T. 外星人			8.5			196923
末路狂花			8.7			128925
