电影名称			评分			评分人数
喜剧之王			8.6			458367
一一			9.0			196800
消失的爱人			8.7			481758
射雕英雄传之东成西就			8.7			355709
阳光姐妹淘			8.8			349366
甜蜜蜜			8.8			288295
爱在黎明破晓前			8.8			295731
小森林 夏秋篇			9.0			199258
侧耳倾听			8.8			230625
红辣椒			8.9			188924
驯龙高手			8.7			396665
倩女幽魂			8.7			361377
恐怖直播			8.7			317271
风之谷			8.8			228126
请以你的名字呼唤我			8.8			284333
上帝之城			8.9			189464
超脱			8.8			233990
爱在日落黄昏时			8.8			258660
菊次郎的夏天			8.8			253150
幸福终点站			8.7			287304
哈利·波特与死亡圣器(下)			8.7			373277
小森林 冬春篇			9.0			173760
杀人回忆			8.7			276754
神偷奶爸			8.5			521384
借东西的小人阿莉埃蒂			8.7			281911
