电影名称			评分			评分人数
7号房的礼物			8.8			245511
萤火之森			8.8			229489
怪兽电力公司			8.6			331088
唐伯虎点秋香			8.5			485238
超能陆战队			8.6			510770
岁月神偷			8.7			372334
蝙蝠侠：黑暗骑士崛起			8.7			380856
七武士			9.2			101273
电锯惊魂			8.7			260836
真爱至上			8.6			405332
谍影重重3			8.7			235276
疯狂原始人			8.7			479686
喜宴			8.9			180854
萤火虫之墓			8.7			254044
东邪西毒			8.6			333114
贫民窟的百万富翁			8.5			472476
英雄本色			8.6			246886
无人知晓			9.1			111959
黑天鹅			8.5			517013
记忆碎片			8.6			350122
血战钢锯岭			8.7			432665
心迷宫			8.7			250779
傲慢与偏见			8.5			393864
时空恋旅人			8.7			274556
雨人			8.7			251890
