电影名称			评分			评分人数
荒蛮故事			8.8			200694
纵横四海			8.7			204364
教父3			8.8			174512
达拉斯买家俱乐部			8.7			244985
卢旺达饭店			8.9			151315
玩具总动员3			8.8			246594
花样年华			8.6			312760
完美的世界			9.1			109341
海边的曼彻斯特			8.6			272498
海洋			9.0			112173
虎口脱险			8.9			131429
恋恋笔记本			8.5			358843
你看起来好像很好吃			8.8			187739
二十二			8.7			151300
被解救的姜戈			8.6			328387
头脑特工队			8.7			310547
燃情岁月			8.7			174825
冰川时代			8.5			349898
无敌破坏王			8.7			277869
你的名字。			8.4			674276
我是山姆			8.9			137899
雨中曲			9.0			115307
人工智能			8.6			241671
爆裂鼓手			8.6			301352
穿越时空的少女			8.6			230487
