电影名称			评分			评分人数
肖申克的救赎			9.6			1364470
霸王别姬			9.6			1008647
这个杀手不太冷			9.4			1247366
阿甘正传			9.4			1074887
美丽人生			9.5			628619
泰坦尼克号			9.3			1014698
千与千寻			9.3			1001530
辛德勒的名单			9.5			560745
盗梦空间			9.3			1085079
忠犬八公的故事			9.3			711575
机器人总动员			9.3			719352
三傻大闹宝莱坞			9.2			972296
海上钢琴师			9.2			800120
放牛班的春天			9.3			671782
楚门的世界			9.2			739874
大话西游之大圣娶亲			9.2			750877
星际穿越			9.2			769496
龙猫			9.2			663810
教父			9.2			488289
熔炉			9.3			431230
无间道			9.1			615964
疯狂动物城			9.2			842326
当幸福来敲门			9.0			785934
怦然心动			9.0			865716
触不可及			9.2			519355
