电影名称			评分			评分人数
天使爱美丽			8.7			615915
沉默的羔羊			8.8			459503
勇敢的心			8.9			366030
剪刀手爱德华			8.7			629230
蝴蝶效应			8.7			505835
猫鼠游戏			8.9			349926
春光乍泄			8.9			335865
心灵捕手			8.8			367843
布达佩斯大饭店			8.8			453758
禁闭岛			8.7			489875
入殓师			8.8			382599
穿条纹睡衣的男孩			9.0			223501
幽灵公主			8.8			309318
阿凡达			8.7			721070
阳光灿烂的日子			8.8			354291
第六感			8.8			303593
玛丽和马克思			8.9			276063
致命ID			8.7			421919
狩猎			9.1			181933
重庆森林			8.7			434058
加勒比海盗			8.7			474103
断背山			8.7			417265
摩登时代			9.2			131877
告白			8.7			436950
大鱼			8.8			323349
