电影名称			评分			评分人数
魂断蓝桥			8.8			155570
未麻的部屋			8.9			132238
三块广告牌			8.7			437949
猜火车			8.5			292811
模仿游戏			8.6			328402
一个叫欧维的男人决定去死			8.8			175115
房间			8.8			209257
完美陌生人			8.6			305273
忠犬八公物语			9.1			85965
罗生门			8.7			162221
恐怖游轮			8.4			421532
魔女宅急便			8.5			254916
阿飞正传			8.5			272169
香水			8.5			340069
浪潮			8.7			163223
朗读者			8.5			320388
哪吒闹海			8.9			110314
可可西里			8.7			160278
黑客帝国3：矩阵革命			8.6			204897
海街日记			8.7			189715
战争之王			8.6			210897
谍影重重			8.5			242379
谍影重重2			8.6			202944
牯岭街少年杀人事件			8.8			136985
地球上的星星			8.9			110052
