电影名称			评分			评分人数
教父2			9.1			264453
素媛			9.2			277407
指环王1：魔戒再现			9.0			415740
海豚湾			9.3			231261
饮食男女			9.1			284662
美丽心灵			8.9			405907
狮子王			9.0			394985
寻梦环游记			9.0			710030
情书			8.9			505263
钢琴家			9.1			267738
美国往事			9.1			229763
本杰明·巴顿奇事			8.8			528913
小鞋子			9.2			196381
黑客帝国			8.9			395198
看不见的客人			8.8			549081
西西里的美丽传说			8.8			498729
让子弹飞			8.7			863119
拯救大兵瑞恩			8.9			336583
大闹天宫			9.3			162097
致命魔术			8.8			459970
哈利·波特与魔法石			8.9			411957
七宗罪			8.8			553640
被嫌弃的松子的一生			8.9			407622
音乐之声			9.0			310246
低俗小说			8.8			452387
