电影名称			评分			评分人数
乱世佳人			9.2			363246
蝙蝠侠：黑暗骑士			9.1			500037
活着			9.2			401690
少年派的奇幻漂流			9.0			789127
天堂电影院			9.2			392250
控方证人			9.6			169929
鬼子来了			9.2			329287
十二怒汉			9.4			234869
指环王3：王者无敌			9.1			395149
天空之城			9.1			462592
摔跤吧！爸爸			9.1			747442
飞屋环游记			8.9			704812
大话西游之月光宝盒			8.9			605637
搏击俱乐部			9.0			508084
罗马假日			9.0			528210
哈尔的移动城堡			9.0			509802
闻香识女人			9.0			449931
窃听风暴			9.1			313372
辩护人			9.2			310580
两杆大烟枪			9.1			348315
飞越疯人院			9.1			350822
死亡诗社			9.0			382962
末代皇帝			9.1			297094
指环王2：双塔奇兵			9.0			371006
V字仇杀队			8.8			585200
